Year,FERU,Generalized FERU
1951,0.0366924152016917,0.0378132967768861
1951.25,0.0352429662013098,0.0365694798801653
1951.5,0.0352025882886787,0.0364583542865548
1951.75,0.0362972297687976,0.0374947857954494
1952,0.0353723055510946,0.0367486583734145
1952.25,0.0337080603614823,0.0349751272334829
1952.5,0.0350061899288302,0.0361739801156855
1952.75,0.0345100629446607,0.0360184267985136
1953,0.0341525987298185,0.0357594779786595
1953.25,0.0321615712717315,0.033647939774095
1953.5,0.0307379606061011,0.0318655465004306
1953.75,0.0316654385726773,0.0320773539226119
1954,0.0344747895006063,0.0341401826999257
1954.25,0.0345938337472639,0.0339895597679231
1954.5,0.0343135865543406,0.0336103646415194
1954.75,0.0332799572649298,0.0328238007732986
1955,0.0341695120766387,0.0341192077823319
1955.25,0.0351624800035492,0.0354140116981077
1955.5,0.0358231768552148,0.0363528290461722
1955.75,0.0372440897622995,0.0378168042769762
1956,0.0372667561119976,0.0379970194090269
1956.25,0.0372478187280813,0.0378462127890177
1956.5,0.0359493470810744,0.0364667282824098
1956.75,0.036235648500092,0.036781825303147
1957,0.0351248566624201,0.0357100229363802
1957.25,0.0341633331707158,0.0345295798162452
1957.5,0.0334937805171846,0.0337048351216641
1957.75,0.0320589734361189,0.0317282984338078
1958,0.0340161726242092,0.0331417506775016
1958.25,0.0352492710720535,0.0339939478037239
1958.5,0.0365665299298568,0.0353874932122084
1958.75,0.03517464364504,0.0343370817509685
1959,0.0363623737154524,0.0358608337936625
1959.25,0.0364376179243375,0.0363521524709688
1959.5,0.0369570321078712,0.0368142368437503
1959.75,0.0370405183549043,0.0367133431468508
1960,0.0394602472256715,0.0396121620745341
1960.25,0.0382796725865482,0.0382659167330787
1960.5,0.0378079944514972,0.0375771655473181
1960.75,0.0382116910556617,0.0376144154725918
1961,0.0389118662278402,0.0380983648394792
1961.25,0.0403567425180312,0.0455769461387686
1961.5,0.0412940673705074,0.0466118681453285
1961.75,0.0414664523038403,0.0467682146656066
1962,0.0403256190969904,0.0454539604662421
1962.25,0.0400582908605281,0.045148100649682
1962.5,0.0394799527186478,0.0445044352165938
1962.75,0.0386522961801754,0.043577345927004
1963,0.0398225229403328,0.044901278715439
1963.25,0.0392473636765013,0.044256221109192
1963.5,0.0387018518075471,0.0436303656827285
1963.75,0.0395034457006249,0.0445306817830175
1964,0.0395406963351263,0.0445650918671113
1964.25,0.0396063967897443,0.0446185719200867
1964.5,0.039707262140151,0.04471554099291
1964.75,0.0401972912299103,0.0452597248159547
1965,0.0409764159812284,0.0461235128067532
1965.25,0.0411582312545134,0.046306180065435
1965.5,0.0409131872247676,0.0460056641547252
1965.75,0.0419718159403823,0.0471587942911365
1966,0.0423115429483098,0.0475122487376859
1966.25,0.0423405505658845,0.0475408595687646
1966.5,0.0417758569298371,0.0469050869261693
1966.75,0.0408799054141111,0.0459006956121847
1967,0.0412862635213645,0.0463675114871841
1967.25,0.0408037307662479,0.0458303973698542
1967.5,0.0402972290197064,0.0452630158442194
1967.75,0.041077974633616,0.0461427648998878
1968,0.0407136340799983,0.0457193223515138
1968.25,0.0401957709218271,0.0451245570096118
1968.5,0.0408955308615067,0.0458992096672166
1968.75,0.0413271500751423,0.0463633847647226
1969,0.0418314076582018,0.0469240161554962
1969.25,0.0419814773971146,0.0470949495032149
1969.5,0.0421026523313358,0.0472457229457228
1969.75,0.0417766548312438,0.0468831535167017
1970,0.0427687580678545,0.0480530756673513
1970.25,0.0430238951694934,0.0483952102669562
1970.5,0.0429476425429848,0.04834493798947
1970.75,0.0435858029893017,0.0491099755569662
1971,0.0434828190847322,0.0490024018870682
1971.25,0.0439461792044162,0.0495174089914062
1971.5,0.0446881788992719,0.0503559919278289
1971.75,0.0447603495170546,0.0504290714884409
1972,0.0457945896852941,0.0458854502243045
1972.25,0.0464381308840052,0.0466353061858844
1972.5,0.0472268755877178,0.0475970513911044
1972.75,0.0487956054487606,0.0494792330842828
1973,0.0487296396229007,0.0497744424699707
1973.25,0.0484079883214882,0.0494170409455185
1973.5,0.0477493455452533,0.0488035618527073
1973.75,0.0469614499113664,0.0479573806458609
1974,0.0474533689238417,0.0481884716080652
1974.25,0.047941631177923,0.0486728562123701
1974.5,0.0475680798668837,0.0479210487688719
1974.75,0.0467397047487465,0.0463619932099616
1975,0.0479388499375333,0.0467212648435352
1975.25,0.0494094008149147,0.0479856138562139
1975.5,0.0497218932329277,0.048512925516967
1975.75,0.0501763556535014,0.0490815454637085
1976,0.0500559686750741,0.0492594899801174
1976.25,0.0501714837111459,0.0494781216905914
1976.5,0.0505428311215129,0.0497810573024186
1976.75,0.0514880784475613,0.050775693559826
1977,0.0523927475897189,0.0519068239307551
1977.25,0.052586648073019,0.0523466454379669
1977.5,0.0530150921908092,0.0529659207487286
1977.75,0.0540781327751287,0.0542869542557304
1978,0.0539753029943634,0.0544201140065804
1978.25,0.0542770669804476,0.0550127995770779
1978.5,0.0546304758252103,0.0553756350377377
1978.75,0.0549975757041466,0.0558906371085698
1979,0.0541241371499096,0.0549528956332453
1979.25,0.0539342191933841,0.0548823424604876
1979.5,0.0544124168835672,0.055271462027954
1979.75,0.0544740509070348,0.0552572118938083
1980,0.053852576540032,0.0543107384196806
1980.25,0.0527193828997773,0.0523626630135063
1980.5,0.0538568060281665,0.0533835602552276
1980.75,0.0541559476573595,0.0538741280549949
1981,0.0534265851426048,0.0530640560576666
1981.25,0.0530980225620503,0.0527299405044038
1981.5,0.0523494667276245,0.0519215586506043
1981.75,0.0520194408103569,0.0510827573715871
