Year,FERU3,FERU4,FERU5
1994,0.0447530259684564,0.04589057994249,0.0487208814310404
1994.25,0.0443561344874265,0.0454477508359618,0.0482485761212377
1994.5,0.0441134900002256,0.0453520325128099,0.0483260378383688
1994.75,0.043957176130108,0.0450355583914843,0.0481012393156099
1995,0.0427940805875454,0.0438788849088394,0.0468314740484048
1995.25,0.0426054247980492,0.0435334420830955,0.0462971785804458
1995.5,0.0432434966208793,0.0443061636036203,0.0469798495548505
1995.75,0.0432695684697173,0.0443512631780136,0.0471895867154326
1996,0.0427101341083771,0.0437805265612689,0.0466964094911446
1996.25,0.0423871049573649,0.0432139076761966,0.046164275566594
1996.5,0.0415205437772141,0.0424939479633111,0.0451630316159589
1996.75,0.0424996732013579,0.0433630186143877,0.0460626939638159
1997,0.0427367913317476,0.043619280970547,0.0463782128639137
1997.25,0.0414728827066554,0.0422389039782226,0.0451918018495426
1997.5,0.0415652098114116,0.0425007328530504,0.0451595072071637
1997.75,0.0414782406141394,0.0424520394955627,0.0453478294347216
1998,0.0419418910186728,0.0429288093462365,0.0457296483277386
1998.25,0.0409617707950556,0.0419868411062455,0.0447555313917204
1998.5,0.0412859943968089,0.0422855445148059,0.0451218963558258
1998.75,0.0407012148330844,0.0417083299341473,0.0443062957451439
1999,0.0413690705721074,0.0422743265908875,0.0449912105264716
1999.25,0.0405122752316436,0.0412603300677129,0.0441007013961119
1999.5,0.0400553783321707,0.0409493774054095,0.0434981022422804
1999.75,0.0396882294333667,0.0406133100475319,0.0433872264172616
2000,0.0405825633054942,0.0415395833749795,0.0442338203851113
2000.25,0.0390657565309227,0.0401646219744908,0.0426819628853192
2000.5,0.0385573166424567,0.0393191928926187,0.0419223484505131
2000.75,0.0374873311933512,0.0382471107977001,0.040851364493053
2001,0.0388971878125386,0.039762259854766,0.0422308665401366
2001.25,0.0375695833389511,0.0385094481056421,0.0405487024013053
2001.5,0.0379390939343776,0.0386742849632834,0.0408936179525583
2001.75,0.0383243734706596,0.0391968615125615,0.0412556981026884
2002,0.0377261885011361,0.0384447879221184,0.0402926495608499
2002.25,0.0376184011629555,0.0383159754669786,0.0404189984487548
2002.5,0.036821827582606,0.0375130490417382,0.0396026243087763
2002.75,0.0372424400522679,0.0379259155946542,0.0398034834140455
2003,0.0362995803878615,0.0371579374180801,0.039059763506667
2003.25,0.0363803812177197,0.0372004921183008,0.0389528200205582
2003.5,0.0365291007271617,0.0372571149475953,0.0390906741816322
2003.75,0.0358792111694599,0.0366339600571927,0.038539948136132
2004,0.0366314991590299,0.0375222693220281,0.0394913327974571
2004.25,0.0369237317896451,0.0378379275291719,0.0398800789801546
2004.5,0.0362264489550859,0.0372601754638598,0.0392116224248646
2004.75,0.0370801023425659,0.0377028061104684,0.0399312272010618
2005,0.0375664079189062,0.0385508892122034,0.0407261361079146
2005.25,0.0369842690363633,0.0378855089807817,0.0401350111217555
2005.5,0.0371180853380858,0.0381698028628883,0.0403664018975268
2005.75,0.0375589914473791,0.0383779972937866,0.0408516622870734
2006,0.0369156616986214,0.0377631001941766,0.0399511120621782
2006.25,0.0378086144789334,0.0388306908539936,0.0412477258775321
2006.5,0.0373857310253483,0.0383958616570761,0.0407811667669193
2006.75,0.0368104401582489,0.0375923901172879,0.0400688547990523
2007,0.0371491684689743,0.0381842645329288,0.0405007213259425
2007.25,0.0374889257013707,0.0383996610833633,0.0407514902098637
2007.5,0.037723146591962,0.0386112353716861,0.0407754141043884
2007.75,0.0380925176251958,0.038834563516488,0.0412072337144412
2008,0.0381656531158665,0.0389926834643059,0.0411338672515236
2008.25,0.0379015459411301,0.0386702839454557,0.040781832961726
2008.5,0.0381594109812189,0.0389432485824746,0.040906688878564
2008.75,0.0381340794605541,0.0390660802928429,0.0408342355681992
2009,0.0395270080006216,0.040455919804208,0.0420882643938385
2009.25,0.0384564265687891,0.0393111012766394,0.0406444171999741
2009.5,0.0383763472478346,0.0390696723423429,0.0405259795986606
2009.75,0.0399309311576554,0.0408086812687308,0.0422612774138933
2010,0.0414856945493601,0.0425822287905893,0.0439275128318578
2010.25,0.042872053407676,0.0442358704618738,0.0456636439069768
2010.5,0.0426717487689814,0.044054430600689,0.045488436566271
2010.75,0.0439077199909897,0.0454573303105139,0.0469266085306917
2011,0.0429436796103137,0.0441295794919647,0.0459758388785078
2011.25,0.043705238301283,0.04499192884889,0.0468099594944722
2011.5,0.045066776437158,0.046467931624137,0.0483440850664727
2011.75,0.0452476044918566,0.0467260574276987,0.0486982612685974
2012,0.0448648101177296,0.0462312298971233,0.0482796569243489
2012.25,0.0452670788729473,0.0464958559656982,0.0486846389709136
2012.5,0.0444915775215683,0.0456431542443794,0.0479918117032386
2012.75,0.0439156157197448,0.0453440963476912,0.0474839048624126
2013,0.0444297521774184,0.0457214970506542,0.0479949320336454
2013.25,0.0443938664297787,0.0459035236175596,0.0480694690987723
2013.5,0.043332372121377,0.044867887276975,0.0469866437681655
2013.75,0.0431124527850594,0.044520727300168,0.0468291519107874
2014,0.0424517950612452,0.0435999981599746,0.0461557851029022
2014.25,0.0426598384408786,0.0441343791728918,0.0467086584033088
2014.5,0.0443470304878991,0.0459126564718375,0.0484200851387922
2014.75,0.0423557939807259,0.0438333137670821,0.0467240905213118
2015,0.0433060613880128,0.0448672899066052,0.0475648156371113
2015.25,0.0434208057610605,0.04489699993532,0.0476799619263039
2015.5,0.0426177174362093,0.0441671785752348,0.0468350335959872
2015.75,0.0425083188430801,0.0439401734141945,0.0466549403456985
2016,0.0425935004933569,0.0440748256211333,0.0468571933270267
