Year,Unemployment rate,FERU,Unemployment gap
1930,0.0363398428666667,0.0248269947455079,0.0115128481211587
1930.25,0.0518069727,0.0285452471709174,0.0232617255290826
1930.5,0.103377570066667,0.0378118415857781,0.0655657284808886
1930.75,0.166075614433333,0.0462209435595929,0.11985467087374
1931,0.1568578947,0.0453118658991688,0.111546028800831
1931.25,0.143402445766667,0.0414498286786645,0.101952617088002
1931.5,0.151936888633333,0.0404788658985219,0.111458022734811
1931.75,0.173802770866667,0.0419009072650312,0.131901863601635
1932,0.1876355538,0.042279141750219,0.145356412049781
1932.25,0.228232690466667,0.0424918847730112,0.185740805693655
1932.5,0.2529056145,0.0440376429662756,0.208867971533724
1932.75,0.2468261412,0.0444841900990798,0.20234195110092
1933,0.229386496266667,0.0406138710864141,0.188772625180253
1933.25,0.228225224066667,0.0425725353375404,0.185652688729126
1933.5,0.196874030866667,0.0408793082514843,0.155994722615182
1933.75,0.1815142488,0.038562811108437,0.142951437691563
1934,0.1517998295,0.03632870286733,0.11547112663267
1934.25,0.1451794734,0.0352928440938618,0.109886629306138
1934.5,0.1713787574,0.036706252323553,0.134672505076447
1934.75,0.179641939733333,0.0382949680739807,0.141346971659353
1935,0.150092886366667,0.0356978865831882,0.114394999783478
1935.25,0.149499143433333,0.0358485543062417,0.113650589127092
1935.5,0.145870505866667,0.0368483282753907,0.109022177591276
1935.75,0.130137464333333,0.0361516213892583,0.093985842944075
1936,0.107694500733333,0.033784588465475,0.0739099122678583
1936.25,0.103604928866667,0.0356180808399214,0.0679868480267453
1936.5,0.0937354225333333,0.0347986020212083,0.058936820512125
1936.75,0.0937651478666667,0.0353752132558426,0.0583899346108241
1937,0.0888668671,0.0344939016397741,0.0543729654602259
1937.25,0.0883167007,0.0347451214044867,0.0535715792955133
1937.5,0.0862304210666667,0.0324045541881294,0.0538258668785373
1937.75,0.1037860111,0.0313962356515771,0.072389775448423
1938,0.1251854957,0.0321483507396074,0.0930371449603926
1938.25,0.132078915866667,0.0315749773802936,0.100503938486373
1938.5,0.126626314433333,0.031928027956676,0.0946982864766573
1938.75,0.114909274033333,0.0314881687546577,0.0834211052786756
1939,0.118935979833333,0.0321962179688568,0.0867397618644766
1939.25,0.116935873633333,0.0321550847861472,0.0847807888471861
1939.5,0.109263444933333,0.0313694806862771,0.0778939642470562
1939.75,0.105664701533333,0.0324373401629413,0.0732273613703921
1940,0.103497301866667,0.0321433229468511,0.0713539789198155
1940.25,0.0977601656,0.0304948591654272,0.0672653064345728
1940.5,0.0905219737,0.0300842121030926,0.0604377615969074
1940.75,0.0886205588333333,0.031719008973841,0.0569015498594924
1941,0.0730565198,0.0315280408992197,0.0415284789007803
1941.25,0.0665885893666667,0.0328884878575935,0.0337001015090732
1941.5,0.0556293323666667,0.0312772681808443,0.0243520641858224
1941.75,0.0443255585,0.0275840256263702,0.0167415328736297
1942,0.0407812165,0.0280476309586822,0.0127335855413178
1942.25,0.0327452885,0.0277034387970558,0.00504184970294419
1942.5,0.0264954365,0.0280222995765473,-0.00152686307654726
1942.75,0.0239780585,0.030206942600587,-0.006228884100587
1943,0.0195631813,0.0293181796704612,-0.0097549983704612
1943.25,0.0181342616,0.029413127601418,-0.011278866001418
1943.5,0.0184985284666667,0.0304633406044308,-0.0119648121377641
1943.75,0.0146040285666667,0.0274415871908463,-0.0128375586241796
1944,0.0128310795333333,0.0270485947740669,-0.0142175152407336
1944.25,0.0138197614333333,0.0291754738464617,-0.0153557124131283
1944.5,0.0128362516333333,0.0260752401696104,-0.0132389885362771
1944.75,0.0097129074,0.0252900191850068,-0.0155771117850068
1945,0.0106543141333333,0.0267233156725264,-0.0160690015391931
1945.25,0.0115535449333333,0.0275468636561852,-0.0159933187228518
1945.5,0.0207528304333333,0.0360947778154178,-0.0153419473820845
1945.75,0.0342393105,0.0417518136593721,-0.00751250315937207
1946,0.0381502095333333,0.0422181932036211,-0.00406798367028777
1946.25,0.0389148718,0.041925607559973,-0.00301073575997303
