Year,FERU
1930,0.0248269947455079
1930.25,0.0285452471709174
1930.5,0.0378118415857781
1930.75,0.0462209435595929
1931,0.0453118658991688
1931.25,0.0414498286786645
1931.5,0.0404788658985219
1931.75,0.0419009072650312
1932,0.042279141750219
1932.25,0.0424918847730112
1932.5,0.0440376429662756
1932.75,0.0444841900990798
1933,0.0406138710864141
1933.25,0.0425725353375404
1933.5,0.0408793082514843
1933.75,0.038562811108437
1934,0.03632870286733
1934.25,0.0352928440938618
1934.5,0.036706252323553
1934.75,0.0382949680739807
1935,0.0356978865831882
1935.25,0.0358485543062417
1935.5,0.0368483282753907
1935.75,0.0361516213892583
1936,0.033784588465475
1936.25,0.0356180808399214
1936.5,0.0347986020212083
1936.75,0.0353752132558426
1937,0.0344939016397741
1937.25,0.0347451214044867
1937.5,0.0324045541881294
1937.75,0.0313962356515771
1938,0.0321483507396074
1938.25,0.0315749773802936
1938.5,0.031928027956676
1938.75,0.0314881687546577
1939,0.0321962179688568
1939.25,0.0321550847861472
1939.5,0.0313694806862771
1939.75,0.0324373401629413
1940,0.0321433229468511
1940.25,0.0304948591654272
1940.5,0.0300842121030926
1940.75,0.031719008973841
1941,0.0315280408992197
1941.25,0.0328884878575935
1941.5,0.0312772681808443
1941.75,0.0275840256263702
1942,0.0280476309586822
1942.25,0.0277034387970558
1942.5,0.0280222995765473
1942.75,0.030206942600587
1943,0.0293181796704612
1943.25,0.029413127601418
1943.5,0.0304633406044308
1943.75,0.0274415871908463
1944,0.0270485947740669
1944.25,0.0291754738464617
1944.5,0.0260752401696104
1944.75,0.0252900191850068
1945,0.0267233156725264
1945.25,0.0275468636561852
1945.5,0.0360947778154178
1945.75,0.0417518136593721
1946,0.0422181932036211
1946.25,0.041925607559973
1946.5,0.0418447907955922
1946.75,0.042772869233263
1947,0.0408006382608734
1947.25,0.0413166342861913
1947.5,0.0420860673403039
1947.75,0.0408923024210212
1948,0.0359619447651109
1948.25,0.0350198378843256
1948.5,0.0352562022430097
1948.75,0.033287395300457
1949,0.0329664003932624
1949.25,0.0350639447536767
1949.5,0.0350374193517921
1949.75,0.0337768258411
1950,0.0348060657395614
1950.25,0.0341069677465861
1950.5,0.03443798944996
1950.75,0.0348561998298406
1951,0.0366924152016917
1951.25,0.0352429662013098
1951.5,0.0352025882886787
1951.75,0.0362972297687976
1952,0.0353723055510946
1952.25,0.0337080603614823
1952.5,0.0350061899288302
1952.75,0.0345100629446607
1953,0.0341525987298185
1953.25,0.0321615712717315
1953.5,0.0307379606061011
1953.75,0.0316654385726773
1954,0.0344747895006063
1954.25,0.0345938337472639
1954.5,0.0343135865543406
1954.75,0.0332799572649298
1955,0.0341695120766387
1955.25,0.0351624800035492
1955.5,0.0358231768552148
1955.75,0.0372440897622995
1956,0.0372667561119976
1956.25,0.0372478187280813
1956.5,0.0359493470810744
1956.75,0.036235648500092
1957,0.0351248566624201
1957.25,0.0341633331707158
1957.5,0.0334937805171846
1957.75,0.0320589734361189
1958,0.0340161726242092
1958.25,0.0352492710720535
1958.5,0.0365665299298568
1958.75,0.03517464364504
1959,0.0363623737154524
1959.25,0.0364376179243375
1959.5,0.0369570321078712
1959.75,0.0370405183549043
1960,0.0394602472256715
1960.25,0.0382796725865482
1960.5,0.0378079944514972
1960.75,0.0382116910556617
1961,0.0389118662278402
1961.25,0.0403567425180312
1961.5,0.0412940673705074
1961.75,0.0414664523038403
1962,0.0403256190969904
1962.25,0.0400582908605281
1962.5,0.0394799527186478
1962.75,0.0386522961801754
1963,0.0398225229403328
1963.25,0.0392473636765013
1963.5,0.0387018518075471
1963.75,0.0395034457006249
1964,0.0395406963351263
1964.25,0.0396063967897443
1964.5,0.039707262140151
1964.75,0.0401972912299103
1965,0.0409764159812284
1965.25,0.0411582312545134
1965.5,0.0409131872247676
1965.75,0.0419718159403823
1966,0.0423115429483098
1966.25,0.0423405505658845
1966.5,0.0417758569298371
1966.75,0.0408799054141111
1967,0.0412862635213645
1967.25,0.0408037307662479
1967.5,0.0402972290197064
1967.75,0.041077974633616
1968,0.0407136340799983
1968.25,0.0401957709218271
1968.5,0.0408955308615067
1968.75,0.0413271500751423
1969,0.0418314076582018
1969.25,0.0419814773971146
1969.5,0.0421026523313358
1969.75,0.0417766548312438
1970,0.0427687580678545
1970.25,0.0430238951694934
1970.5,0.0429476425429848
1970.75,0.0435858029893017
1971,0.0434828190847322
1971.25,0.0439461792044162
1971.5,0.0446881788992719
1971.75,0.0447603495170546
1972,0.0457945896852941
1972.25,0.0464381308840052
1972.5,0.0472268755877178
1972.75,0.0487956054487606
1973,0.0487296396229007
1973.25,0.0484079883214882
1973.5,0.0477493455452533
1973.75,0.0469614499113664
1974,0.0474533689238417
1974.25,0.047941631177923
1974.5,0.0475680798668837
1974.75,0.0467397047487465
1975,0.0479388499375333
1975.25,0.0494094008149147
1975.5,0.0497218932329277
1975.75,0.0501763556535014
1976,0.0500559686750741
1976.25,0.0501714837111459
1976.5,0.0505428311215129
1976.75,0.0514880784475613
1977,0.0523927475897189
1977.25,0.052586648073019
1977.5,0.0530150921908092
1977.75,0.0540781327751287
1978,0.0539753029943634
1978.25,0.0542770669804476
1978.5,0.0546304758252103
1978.75,0.0549975757041466
1979,0.0541241371499096
1979.25,0.0539342191933841
1979.5,0.0544124168835672
1979.75,0.0544740509070348
1980,0.053852576540032
1980.25,0.0527193828997773
1980.5,0.0538568060281665
1980.75,0.0541559476573595
1981,0.0534265851426048
1981.25,0.0530980225620503
1981.5,0.0523494667276245
1981.75,0.0520194408103569
