Year,U3 gap,U4 gap,U5 gap
1994,0.0209136406982103,0.0234427533908433,0.0302791185689596
1994.25,0.0176438655125735,0.0198855824973716,0.0260847572120956
1994.5,0.0158865099997744,0.0183146341538568,0.0246739621616312
1994.75,0.0123761572032254,0.0142977749418491,0.0202320940177235
1995,0.0118725860791212,0.0137877817578273,0.0195018592849285
1995.25,0.0140612418686175,0.0157998912502378,0.0213694880862208
1995.5,0.0134231700457874,0.0153605030630464,0.0206868171118162
1995.75,0.0123970981969493,0.0143154034886531,0.0198104132845674
1996,0.0126231992249562,0.0145528067720644,0.0203035905088554
1996.25,0.0126128950426351,0.0141194256571367,0.019835724433406
1996.5,0.0111461228894525,0.0128393853700223,0.0178369683840411
1996.75,0.0108336601319754,0.012303648052279,0.0172706393695174
1997,0.00959654200158579,0.0110473856961196,0.0159551204694197
1997.25,0.00852711729334456,0.00976109602177735,0.0148081981504574
1997.5,0.00710145685525507,0.0084992671469496,0.0128404927928363
1997.75,0.00518842605252725,0.00654796050443734,0.0109855038986117
1998,0.00439144231466058,0.00573785732043013,0.00993701833892804
1998.25,0.00303822920494444,0.00434649222708784,0.00824446860827959
1998.5,0.00404733893652447,0.00538112215186075,0.00954477031084085
1998.75,0.00363211850024894,0.00495833673251939,0.00869370425485615
1999,0.00163092942789263,0.0027256734091125,0.00634212280686174
1999.25,0.00215439143502305,0.00307300326562043,0.00689929860388814
1999.5,0.0022779550011626,0.00338395592792386,0.00683523109105298
1999.75,0.000978437233299954,0.00205335661913477,0.00561277358273846
2000,-0.000249229972160869,0.000793749958353879,0.00409951294822204
2000.25,0.000267576802410588,0.0015020446921759,0.00465137044801416
2000.5,0.00144268335754332,0.00234747377404796,0.00574431821615357
2000.75,0.00151266880664883,0.0024195558689666,0.00581530217361369
2001,0.00343614552079469,0.00457107347856731,0.00810246679319674
2001.25,0.0064304166610489,0.00782388522769126,0.0111179642653614
2001.5,0.0103942393989557,0.01165904837005,0.0157730487141083
2001.75,0.0166756265293404,0.0184698051541051,0.0230776352306449
2002,0.0192738114988639,0.020888545411215,0.0253740171058167
2002.25,0.0207149321703779,0.0223506911996881,0.0275810015512452
2002.5,0.0205115057507274,0.0221536176249285,0.0273973756912237
2002.75,0.0214242266143988,0.0230740844053458,0.0278631832526211
2003,0.0223670862788052,0.0245087292485865,0.0296069031599997
2003.25,0.0249529521156136,0.0271328412150325,0.0320471799794418
2003.5,0.0248042326061716,0.0267428850524047,0.0319093258183678
2003.75,0.0224541221638734,0.0243660399428073,0.029460051863868
2004,0.0203685008409701,0.0224777306779719,0.0275086672025429
2004.25,0.0190762682103548,0.0211620724708281,0.0261199210198454
2004.5,0.0181068843782475,0.0204064912028068,0.0251217109084687
2004.75,0.0172532309907674,0.0186305272228649,0.0237354394656049
2005,0.0154335920810938,0.0174491107877966,0.0222738638920854
2005.25,0.0140157309636367,0.015781157685885,0.0205316555449112
2005.5,0.0125485813285809,0.0144968638037784,0.0189669314358065
2005.75,0.0121076752192875,0.0136220027062134,0.01848167104626
2006,0.0104176716347119,0.0119035664724901,0.0160488879378217
2006.25,0.00852471885439992,0.0101693091460064,0.0144189407891346
2006.5,0.00894760230798507,0.0106041383429239,0.0148854998997474
2006.75,0.00752289317508441,0.00874094321604543,0.0129311452009477
2007,0.00785083153102575,0.00948240213373783,0.0134992786740575
2007.25,0.00751107429862931,0.00893367224997003,0.012915176456803
2007.5,0.00894352007470468,0.0103887646283139,0.0142245858956116
2007.75,0.00990748237480425,0.0111654364835121,0.0154594329522254
2008,0.0118343468841335,0.0133406498690274,0.0175327994151431
2008.25,0.0154317873922033,0.016996382721211,0.0215515003716073
2008.5,0.0218405890187811,0.0237234180841921,0.0287599777881027
2008.75,0.0305325872061126,0.0332672530404904,0.0388324310984675
2009,0.0431396586660451,0.046544080195792,0.0529117356061615
2009.25,0.0545435734312109,0.0583555653900273,0.0646889161333593
2009.5,0.0579569860854988,0.0612636609909904,0.0684740204013394
2009.75,0.0594024021756779,0.0635246520646026,0.0707387225861067
2010,0.0568476387839732,0.0617511045427441,0.0680724871681422
2010.25,0.0534612799256574,0.0590974628714596,0.0653363560930232
2010.5,0.0519949178976853,0.0576122360659777,0.0638448967670623
2010.75,0.0510922800090103,0.0572093363561527,0.0634067248026417
2011,0.0473896537230196,0.0518704205080354,0.0593574944548256
2011.25,0.0469614283653837,0.0516747378177766,0.0588567071721945
2011.5,0.044933223562842,0.0498654017091963,0.0569892482668607
2011.75,0.0410857288414767,0.0459406092389679,0.0529684053980693
2012,0.037801856548937,0.0421021034362101,0.0490536764089844
2012.25,0.0367329211270527,0.0405041440343018,0.0476486943624198
2012.5,0.0358417558117651,0.0393568457556206,0.0470081882967614
2012.75,0.0340843842802552,0.0383225703189755,0.045182761804254
2013,0.0329035811559149,0.0366118362826791,0.0436717346330212
2013.25,0.0309394669035546,0.0350964763824404,0.0415971975678944
2013.5,0.0290009612119563,0.033132112723025,0.0393466895651678
2013.75,0.0262208805482739,0.0298126060331654,0.0361708480892126
2014,0.0242148716054215,0.0270666685066921,0.0338442148970978
2014.25,0.0193401615591214,0.0225322874937748,0.0286246749300245
2014.5,0.0163196361787676,0.0194206768614959,0.0249132481945411
2014.75,0.0146442060192741,0.0175000195662513,0.0236092428120216
2015,0.0120272719453206,0.0147993767600615,0.0201018510295553
2015.25,0.0109125275722728,0.0134363333980134,0.0186533714070294
2015.5,0.00838228256379075,0.0108328214247652,0.0154982997373461
2015.75,0.00782501449025323,0.0100598265858055,0.0146783929876348
