Year,Tightness
1951,1.09904761904762
1951.25,1.29247311827957
1951.5,1.23578947368421
1951.75,1.16237623762376
1952,1.3304347826087
1952.25,1.29101123595506
1952.5,1.17216494845361
1952.75,1.48352941176471
1953,1.6
1953.25,1.57012987012987
1953.5,1.26463414634146
1953.75,0.732432432432432
1954,0.428481012658228
1954.25,0.355747126436782
1954.5,0.33072625698324
1954.75,0.389375
1955,0.52112676056338
1955.25,0.638636363636364
1955.5,0.763414634146341
1955.75,0.774015748031496
1956,0.853719008264463
1956.25,0.786507936507937
1956.5,0.756451612903226
1956.75,0.768548387096774
1957,0.797457627118644
1957.25,0.694308943089431
1957.5,0.625984251968504
1957.75,0.422297297297297
1958,0.291534391534392
1958.25,0.2289592760181
1958.5,0.248636363636364
1958.75,0.305235602094241
1959,0.388571428571429
1959.25,0.510457516339869
1959.5,0.492405063291139
1959.75,0.4375
1960,0.590909090909091
1960.25,0.535031847133758
1960.5,0.466867469879518
1960.75,0.371808510638298
1961,0.327450980392157
1961.25,0.332380952380952
1961.5,0.372413793103448
1961.75,0.447311827956989
1962,0.512426035502959
1962.25,0.524096385542169
1962.5,0.502994011976048
1962.75,0.487951807228916
1963,0.476878612716763
1963.25,0.468604651162791
1963.5,0.495151515151515
1963.75,0.503592814371258
1964,0.523170731707317
1964.25,0.580128205128205
1964.5,0.630666666666667
1964.75,0.65503355704698
1965,0.699319727891156
1965.25,0.777857142857143
1965.5,0.877862595419847
1965.75,1.0479674796748
1966,1.19741379310345
1966.25,1.22
1966.5,1.23008849557522
1966.75,1.22072072072072
1967,1.16
1967.25,1.13304347826087
1967.5,1.12456140350877
1967.75,1.10940170940171
1968,1.18928571428571
1968.25,1.27009345794392
1968.5,1.33962264150943
1968.75,1.47745098039216
1969,1.51372549019608
1969.25,1.49514563106796
1969.5,1.39345794392523
1969.75,1.37196261682243
1970,1.0536
1970.25,0.814685314685315
1970.5,0.690967741935484
1970.75,0.558285714285714
1971,0.537078651685393
1971.25,0.554802259887006
1971.5,0.548618784530387
1971.75,0.569101123595506
1972,0.630635838150289
1972.25,0.66374269005848
1972.5,0.719760479041916
1972.75,0.826708074534162
1973,0.975675675675676
1973.25,0.962837837837838
1973.5,0.989583333333333
1973.75,0.97062937062937
1974,0.854545454545454
1974.25,0.85
1974.5,0.71301775147929
1974.75,0.501515151515151
1975,0.336290322580645
1975.25,0.310526315789474
1975.5,0.34488188976378
1975.75,0.365461847389558
1976,0.418965517241379
1976.25,0.439647577092511
1976.5,0.427155172413793
1976.75,0.439484978540773
1977,0.488
1977.25,0.543457943925233
1977.5,0.590338164251208
1977.75,0.658
1978,0.726315789473684
1978.25,0.818333333333333
1978.5,0.819889502762431
1978.75,0.868926553672316
1979,0.851136363636364
1979.25,0.895321637426901
1979.5,0.860227272727273
1979.75,0.833519553072626
1980,0.730687830687831
1980.25,0.516818181818182
1980.5,0.493478260869565
1980.75,0.535585585585586
1981,0.516591928251121
1981.25,0.514864864864865
1981.5,0.50045045045045
1981.75,0.39919028340081
1982,0.344528301886792
1982.25,0.290106007067138
1982.5,0.242760942760943
1982.75,0.2175
1983,0.236012861736334
1983.25,0.265460526315789
1983.5,0.316370106761566
1983.75,0.39296875
1984,0.461440677966102
1984.25,0.52152466367713
1984.5,0.529596412556054
1984.75,0.546118721461187
1985,0.552995391705069
1985.25,0.550684931506849
1985.5,0.561574074074074
1985.75,0.572037914691943
1986,0.559241706161137
1986.25,0.550697674418605
1986.5,0.565071770334928
1986.75,0.584390243902439
1987,0.613636363636364
1987.25,0.679787234042553
1987.5,0.734444444444444
1987.75,0.764571428571429
1988,0.755555555555556
1988.25,0.801829268292683
1988.5,0.79390243902439
1988.75,0.819375
1989,0.806410256410256
1989.25,0.79171974522293
1989.5,0.763694267515924
1989.75,0.745341614906832
1990,0.720754716981132
1990.25,0.68
1990.5,0.601169590643275
1990.75,0.484782608695652
1991,0.396969696969697
1991.25,0.372195121951219
1991.5,0.358252427184466
1991.75,0.334741784037559
1992,0.322171945701357
1992.25,0.318421052631579
1992.5,0.316157205240175
1992.75,0.337556561085973
1993,0.352336448598131
1993.25,0.363679245283019
1993.5,0.391176470588235
1993.75,0.423618090452261
1994,0.464467005076142
1994.25,0.511827956989247
1994.5,0.540555555555556
1994.75,0.608875739644971
1995,0.61280487804878
1995.25,0.565294117647059
1995.5,0.582352941176471
1995.75,0.604191616766467
1996,0.595783132530121
1996.25,0.593939393939394
1996.5,0.621518987341772
1996.75,0.635
1997,0.666878980891719
1997.25,0.688
1997.5,0.72945205479452
1997.75,0.79
1998,0.819424460431655
1998.25,0.866666666666667
1998.5,0.829411764705882
1998.75,0.842857142857143
1999,0.925581395348837
1999.25,0.9015625
1999.5,0.895275590551181
1999.75,0.952459016393443
2000,1.01239669421488
2000.25,0.986440677966102
2000.5,0.929166666666667
2000.75,0.923931623931624
2001,0.844250789107517
2001.25,0.729066938152062
2001.5,0.616141433391379
2001.75,0.485539703113585
2002,0.438062572737227
2002.25,0.41587908422901
2002.5,0.412473731703234
2002.75,0.402989219699797
2003,0.382842711357611
2003.25,0.351836874938549
2003.5,0.354719305275761
2003.75,0.37831380072765
2004,0.413009150704218
2004.25,0.434745525916343
2004.5,0.444548174001994
2004.75,0.465746016320391
2005,0.502397651808351
2005.25,0.525888564457555
2005.5,0.558523054479023
2005.75,0.571870661091783
2006,0.608257027763519
2006.25,0.665877643980618
2006.5,0.651065470663899
2006.75,0.689415825755906
2007,0.681511465647521
2007.25,0.694034345798959
2007.5,0.653434800978973
2007.75,0.62979162284108
