Year,FERU,NRU,NRUST,NAIRU
1981.75,0.0520194408103569,0.06160031,0.06160031,0.072481
1982,0.0518486043956612,0.06150627,0.06150627,0.072489
1982.25,0.0508093385992072,0.0614115953445435,0.06141159534,0.072442
1982.5,0.0487780688424624,0.06131687,0.06131687,0.072073
1982.75,0.0497460216164737,0.06122254,0.06122254,0.073652
1983,0.0503624639764356,0.06112889,0.06112889,0.071151
1983.25,0.0522098330457651,0.06103606,0.06103606,0.070632
1983.5,0.0526844906547986,0.0609440040588379,0.06094400406,0.067948
1983.75,0.0534930940506446,0.06085254,0.06085254,0.065709
1984,0.0534378143265609,0.06076131,0.06076131,0.063692
1984.25,0.0536810539721004,0.06066982,0.06066982,0.062055
1984.5,0.0540948755018029,0.06057761,0.06057761,0.061688
1984.75,0.0539468874604149,0.0604842138290405,0.06048421383,0.060257
1985,0.0537897140105182,0.06038903,0.06038903,0.059056
1985.25,0.0541719484604348,0.0602913951873779,0.06029139519,0.058731
1985.5,0.0539555372505918,0.06019057,0.06019057,0.057566
1985.75,0.0531953423190832,0.06008578,0.06008578,0.055772
1986,0.0525970003369436,0.05997622,0.05997622,0.055258
1986.25,0.0531831218004777,0.0598611,0.0598611,0.05505
1986.5,0.052369308229577,0.0597396755218506,0.05973967552,0.054044
1986.75,0.0522377045607651,0.0596112537384033,0.05961125374,0.053779
1987,0.0517010638188423,0.0594752550125122,0.05947525501,0.052973
1987.25,0.0516681720210808,0.0593312549591064,0.05933125496,0.052313
1987.5,0.0514198405287298,0.0591790151596069,0.05917901516,0.05203
1987.75,0.0510065355289562,0.05901855,0.05901855,0.051938
1988,0.0495459382795401,0.05885015,0.05885015,0.051628
1988.25,0.0489512228879139,0.0586744,0.0586744,0.051314
1988.5,0.0487086576835508,0.05849217,0.05849217,0.051793
1988.75,0.0482769786406178,0.0583045244216919,0.05830452442,0.051728
1989,0.04669618114293,0.0581126737594604,0.05811267376,0.051192
1989.25,0.0465654855493255,0.05791787,0.05791787,0.051305
1989.5,0.0457338921248661,0.05772135,0.05772135,0.051027
1989.75,0.0463321342770508,0.0575242853164673,0.05752428532,0.051633
1990,0.0449955553360551,0.05732765,0.05732765,0.051805
1990.25,0.0439797933399217,0.057132306098938,0.0571323061,0.051513
1990.5,0.0441950223441509,0.0569390249252319,0.05693902493,0.052324
1990.75,0.0427041502016425,0.056748514175415,0.05674851418,0.052977
1991,0.041583650633392,0.0565614557266235,0.05656145573,0.053545
